query,category,expectedOutcome,rank,id,title,artist,source,score,licenseType,medium,classification,culture,objectDate,tags,subjectTitles,styleTitles,techniqueTitles,themeTitles,imageUrl,originalLink,sourceLink
impressionist oil painting landscape,painting,Top results should prioritize museum sources with credited painters and full artwork metadata.,1,unsplash-r7BNjDQ8B6M,"Title: 1945P25 Cottages at Aldbourne Description: 1945P25 Cottages at Aldbourne, 1915 By Arthur Ambrose McEvoy (d. 1927) Keywords: Landscape, Green, Birmingham Museums Trust/Birmingham Museum & Art Gallery, Oil Painting, Rural, PCF, Cottage https://dams.birminghammuseums.org.uk/asset-bank/action/viewAsset?id=8383",Birmingham Museums Trust,Unsplash,2.39,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1695841397204-db5a8fd1044e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwyfHxpbXByZXNzaW9uaXN0JTIwb2lsJTIwcGFpbnRpbmclMjBsYW5kc2NhcGV8ZW58MXx8fHwxNzg5NTk3Nzg1fDA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/a-painting-of-a-house-with-a-thatched-roof-r7BNjDQ8B6M,https://unsplash.com/@birminghammuseumstrust
impressionist oil painting landscape,painting,Top results should prioritize museum sources with credited painters and full artwork metadata.,2,met-359362,Landscape,Edgar Degas,The Metropolitan Museum of Art,2.08,Public Domain,"Monotype in oil colors, heightened with pastel",Prints,,1892,Landscapes,,,,,https://images.metmuseum.org/CRDImages/dp/original/DP815958.jpg,https://www.metmuseum.org/art/collection/search/359362,https://www.metmuseum.org
impressionist oil painting landscape,painting,Top results should prioritize museum sources with credited painters and full artwork metadata.,3,met-437323,A Brazilian Landscape,Frans Post,The Metropolitan Museum of Art,2.07,Public Domain,Oil on wood,Paintings,,1650,Landscapes,,,,,https://images.metmuseum.org/CRDImages/ep/original/DP145952.jpg,https://www.metmuseum.org/art/collection/search/437323,https://www.metmuseum.org
impressionist oil painting landscape,painting,Top results should prioritize museum sources with credited painters and full artwork metadata.,4,met-196918,Classical Landscape with Roma Figures,John Wootton,The Metropolitan Museum of Art,2.06,Public Domain,Oil on canvas,Paintings-Decorative,,1748,Men;Dogs;Horses;Landscapes,,,,,https://images.metmuseum.org/CRDImages/es/original/DP169632.jpg,https://www.metmuseum.org/art/collection/search/196918,https://www.metmuseum.org
impressionist oil painting landscape,painting,Top results should prioritize museum sources with credited painters and full artwork metadata.,5,met-11774,Landscape,Jean Pillement,The Metropolitan Museum of Art,2.05,Public Domain,Oil on canvas,,American,1800–1830,Houses;Landscapes,,,,,https://images.metmuseum.org/CRDImages/ad/original/ap46.67.83.jpg,https://www.metmuseum.org/art/collection/search/11774,https://www.metmuseum.org
impressionist oil painting landscape,painting,Top results should prioritize museum sources with credited painters and full artwork metadata.,6,aic-863,Pastoral Landscape with Ruins,"Adriaen van de Velde (Dutch, 1636–1672)",Art Institute of Chicago,1.92,Public Domain,,,,,,landscape;clouds;cows;goats;hills;horses;ruins;trees,17th Century,oil painting;painting;painting (image making);painting techniques,,http://commons.wikimedia.org/wiki/Special:FilePath/Adriaen%20van%20de%20Velde%20-%20Pastoral%20Landscape%20with%20Ruins%20-%201894.1024%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/863,https://www.artic.edu
baroque religious painting dramatic light,painting,"Results should surface historical museum works with clear title, artist, source, and original link.",1,unsplash-1rBg5YSi00c,Michael Angelo's painting on top of the Palace of Versailles,adrianna geo,Unsplash,1.96,Unsplash License,,,,,,,,,,https://images.unsplash.com/flagged/photo-1572392640988-ba48d1a74457?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwxfHxiYXJvcXVlJTIwcmVsaWdpb3VzJTIwcGFpbnRpbmclMjBkcmFtYXRpYyUyMGxpZ2h0fGVufDF8fHx8MTc4OTU5Nzc4Nnww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/a-painting-on-the-ceiling-of-a-building-1rBg5YSi00c,https://unsplash.com/@adrigeo_
baroque religious painting dramatic light,painting,"Results should surface historical museum works with clear title, artist, source, and original link.",2,unsplash-TVsgRyKJDc0,Baroque ceiling fresco with figures and bees in the Palazzo Barberini in Rome,Francesco Bianco,Unsplash,1.95,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1599894019794-50339c9ad89c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwyfHxiYXJvcXVlJTIwcmVsaWdpb3VzJTIwcGFpbnRpbmclMjBkcmFtYXRpYyUyMGxpZ2h0fGVufDF8fHx8MTc4OTU5Nzc4Nnww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/baroque-ceiling-fresco-in-rome-TVsgRyKJDc0,https://unsplash.com/@francescobiancoo
baroque religious painting dramatic light,painting,"Results should surface historical museum works with clear title, artist, source, and original link.",3,unsplash-ER0xcvVP96w,The Transfiguration painting by master Raphael.,iam_os,Unsplash,1.91,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1619696920623-e8cce918848e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw2fHxiYXJvcXVlJTIwcmVsaWdpb3VzJTIwcGFpbnRpbmclMjBkcmFtYXRpYyUyMGxpZ2h0fGVufDF8fHx8MTc4OTU5Nzc4Nnww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/people-in-gold-framed-painting-ER0xcvVP96w,https://unsplash.com/@iam_os
baroque religious painting dramatic light,painting,"Results should surface historical museum works with clear title, artist, source, and original link.",4,aic-120172,Penitent Saint Peter,"Jusepe de Ribera (Spanish, 1588–1652)",Art Institute of Chicago,1.87,Public Domain,,,,,,saints;table;religious figures;religious;religion;night;man;Christianity;Christian subjects;bearded man;light;lighting,17th Century;Baroque,oil painting;painting techniques;painting (image making);painting,,http://commons.wikimedia.org/wiki/Special:FilePath/Jusepe%20de%20Ribera%20-%20Penitent%20Saint%20Peter%20-%201993.60%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/120172,https://www.artic.edu
